Sample	s_name	totalpairs	discardpairs	percdiscard	combopairs	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913102_1	ERR6913102_1	51262	0	0	45999	0	0	5263	89.73
ERR6913103_1	ERR6913103_1	192870	0	0	177291	0	0	15579	91.92
ERR6913108_1	ERR6913108_1	113140	0	0	102466	0	0	10674	90.57
ERR6913111_1	ERR6913111_1	16620	0	0	14812	0	0	1808	89.12
ERR6913115_1	ERR6913115_1	16627	0	0	14807	0	0	1820	89.05
ERR6913128_1	ERR6913128_1	1067560	0	0	596278	0	0	471282	55.85
ERR6913189_1	ERR6913189_1	1112816	0	0	628580	0	0	484236	56.49
ERR6913198_1	ERR6913198_1	4801	0	0	4512	0	0	289	93.98
ERR6913199_1	ERR6913199_1	31198	0	0	29590	0	0	1608	94.85
ERR6913204_1	ERR6913204_1	23800	0	0	20764	0	0	3036	87.24
ERR6913207_1	ERR6913207_1	4620	0	0	4239	0	0	381	91.75
ERR6913211_1	ERR6913211_1	19781	0	0	18590	0	0	1191	93.98
ERR6913224_1	ERR6913224_1	1127307	0	0	987647	0	0	139660	87.61
ERR6913285_1	ERR6913285_1	1214208	0	0	1087640	0	0	126568	89.58
