Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Bracken_mqc-generalstats-bracken-pct_top_one	Bracken_mqc-generalstats-bracken-pct_top_n	Kraken_mqc-generalstats-kraken-pct_top_one	Kraken_mqc-generalstats-kraken-pct_top_n	Kraken_mqc-generalstats-kraken-pct_unclassified	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913102_1							8.431196597869771	49.0	128.741972611291	142	0.0	51262.0	45999	89.73
ERR6913102_2							8.382427529163905	49.0	128.75223362334674	142	0.0	51262.0		
ERR6913102_bracken_report		21.904967036260114	50.79475077414843											
ERR6913102_report				0.5700171005130154	0.5700171005130154	80.94242827284819								
ERR6913103_1							8.370122054670034	50.0	127.24792347176854	137	0.0	192870.0	177291	91.92
ERR6913103_2							8.316462834347632	50.0	127.22781666407424	137	10.0	192870.0		
ERR6913103_bracken_report		21.904967036260114	50.79475077414843											
ERR6913103_report				2.259451826176263	2.265870723409718	90.7118557031902								
ERR6913108_1							8.051953770664753	50.0	129.28144776383243	142	0.0	113140.0	102466	90.57
ERR6913108_2							8.052798823623775	50.0	129.28346296623653	142	0.0	113140.0		
ERR6913108_bracken_report		21.904967036260114	50.79475077414843											
ERR6913108_report				0.4403222784335769	0.4403222784335769	95.26887764661795								
ERR6913111_1							8.766546329723226	50.0	132.37154031287605	147	10.0	16620.0	14812	89.12
ERR6913111_2							8.718411552346566	50.0	132.39296028880867	147	10.0	16620.0		
ERR6913111_bracken_report		21.904967036260114	50.79475077414843											
ERR6913111_report				8.849557522123893	9.402654867256636	77.21238938053098								
ERR6913115_1							8.359896553798038	49.0	128.1487339868888	142	10.0	16627.0	14807	89.05
ERR6913115_2							8.341853611595596	49.0	128.1327359114693	142	10.0	16627.0		
ERR6913115_bracken_report		21.904967036260114	50.79475077414843											
ERR6913115_report				4.395604395604396	4.395604395604396	86.75824175824177								
ERR6913128_1							7.217928628744772	44.0	143.40360354453145	151	0.0	1067560.0	596278	55.85
ERR6913128_2							7.06644899021029	44.0	143.39616321330885	151	0.0	1067560.0		
ERR6913128_bracken_report		21.904967036260114	50.79475077414843											
ERR6913128_report				0.029918392809400743	28.322108631350233	10.607661654805403								
ERR6913189_1							6.532021068344278	44.0	141.64226700550674	151	0.0	1112816.0	628580	56.49
ERR6913189_2							6.437640416445703	44.0	141.63646820318903	151	0.0	1112816.0		
ERR6913189_bracken_report		21.904967036260114	50.79475077414843											
ERR6913189_report				0.0020651087486267027	23.616170627545248	33.610883949148764								
ERR6913198_1							21.64132472401583	51.0	122.09268902312019	132	0.0	4801.0	4512	93.98
ERR6913198_2							21.995417621328897	51.0	122.12434909393876	132	0.0	4801.0		
ERR6913198_bracken_report		21.904967036260114	50.79475077414843											
ERR6913198_report				2.422145328719723	5.190311418685122	28.373702422145332								
ERR6913199_1							16.51387909481376	48.0	106.96948522341175	112	20.0	31198.0	29590	94.85
ERR6913199_2							16.664529777549845	48.0	106.9564074620168	112	20.0	31198.0		
ERR6913199_bracken_report		21.904967036260114	50.79475077414843											
ERR6913199_report				7.898009950248756	35.82089552238806	49.875621890547265								
ERR6913204_1							33.39075630252101	49.0	125.75584033613445	147	0.0	23800.0	20764	87.24
ERR6913204_2							33.03361344537815	49.0	125.74113445378151	147	0.0	23800.0		
ERR6913204_bracken_report		21.904967036260114	50.79475077414843											
ERR6913204_report				1.7127799736495388	13.96574440052701	14.064558629776021								
ERR6913207_1							12.467532467532465	52.0	124.62056277056277	137	10.0	4620.0	4239	91.75
ERR6913207_2							12.012987012987011	52.0	124.5926406926407	137	10.0	4620.0		
ERR6913207_bracken_report		21.904967036260114	50.79475077414843											
ERR6913207_report				19.160104986876643	19.947506561679795	19.68503937007874								
ERR6913211_1							10.226985491127849	50.0	113.85860168848896	122	0.0	19781.0	18590	93.98
ERR6913211_2							10.262372984176736	50.0	113.8825640766392	122	0.0	19781.0		
ERR6913211_bracken_report		21.904967036260114	50.79475077414843											
ERR6913211_report				26.364399664147776	39.210747271200674	42.98908480268682								
ERR6913224_1							10.81551236157884	44.0	132.2404526894626	147	0.0	1127307.0	987647	87.61
ERR6913224_2							10.857222687767134	44.0	132.22832821937592	147	0.0	1127307.0		
ERR6913224_bracken_report		21.904967036260114	50.79475077414843											
ERR6913224_report				0.20979521695546327	17.54833166260919	12.017041386223685								
ERR6913285_1							27.371647374605942	46.0	131.71254266155387	142	0.0	1214208.0	1087640	89.58
ERR6913285_2							27.21993895618931	46.0	131.71359355234028	142	0.0	1214208.0		
ERR6913285_bracken_report		21.904967036260114	50.79475077414843											
ERR6913285_report				0.04029454522470135	26.137728335756275	26.359743379053157								
x_erhar_bowtie_merged2PhiX	0.0													
x_erhar_bowtie_merged2SC2	0.18													
