Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	x_erhar_bowtie_merged2PhiX	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/bowtie/x_erhar_bowtie_merged2PhiX.log
Bowtie 2 / HiSAT2	all_sections	x_erhar_bowtie_merged2SC2	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/bowtie/x_erhar_bowtie_merged2SC2.log
Bracken	all_sections	ERR6913108_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913108_bracken_report.txt
Bracken	all_sections	ERR6913103_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913103_bracken_report.txt
Bracken	all_sections	ERR6913204_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913204_bracken_report.txt
Bracken	all_sections	ERR6913189_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913189_bracken_report.txt
Bracken	all_sections	ERR6913207_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913207_bracken_report.txt
Bracken	all_sections	ERR6913224_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913224_bracken_report.txt
Bracken	all_sections	ERR6913199_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913199_bracken_report.txt
Bracken	all_sections	ERR6913211_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913211_bracken_report.txt
Bracken	all_sections	ERR6913198_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913198_bracken_report.txt
Bracken	all_sections	ERR6913128_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913128_bracken_report.txt
Bracken	all_sections	ERR6913285_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913285_bracken_report.txt
Bracken	all_sections	ERR6913115_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913115_bracken_report.txt
Bracken	all_sections	ERR6913111_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913111_bracken_report.txt
Bracken	all_sections	ERR6913102_bracken_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913102_bracken_report.txt
Kraken	all_sections	ERR6913102_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913102_report.txt
Kraken	all_sections	ERR6913189_report	/proj/applied_bioinformatics/users/x_erhar/MedBioinfo/analyses/kraken2/ERR6913189_report.txt
